Матрица,1999,8.7,"боевик, фантастика, триллер",https://static.kinoafisha.info/k/movie_posters/220/upload/movie_posters/8/5/7/3788758/20dd9c3f3257eee4478c4a3fc3bd9f94.jpeg,https://www.kinoafisha.info/movies/3788758/
Форрест Гамп,1994,8.7,"комедия, мелодрама, драма",https://static.kinoafisha.info/k/movie_posters/220/upload/movie_posters/6/4/3/4162346/454de8b8e35beb8636d75f3f1adae270.jpeg,https://www.kinoafisha.info/movies/4162346/
Леон,1994,8.7,"драма, триллер, криминал",https://static.kinoafisha.info/k/movie_posters/220/upload/movie_posters/4/4/4/3443444/2ba9a4cafa401fdfb30e4746d28a4e64.jpeg,https://www.kinoafisha.info/movies/3443444/
Джентльмены,2020,8.7,"боевик, криминал",https://static.kinoafisha.info/k/movie_posters/220/upload/movie_posters/4/7/4/8356474/aea0b8d0d942a8a56e8da1dec7821ee1.jpeg,https://www.kinoafisha.info/movies/8356474/
Назад в будущее 3,1990,8.7,"приключения, фантастика, вестерн, комедия, боевик",https://static.kinoafisha.info/k/movie_posters/220/upload/movie_posters/3/8/7/5412783/16212525745412783.jpg,https://www.kinoafisha.info/movies/5412783/
Назад в будущее,1985,8.7,"приключения, фантастика, комедия, боевик",https://static.kinoafisha.info/k/movie_posters/220/upload/movie_posters/7/8/7/5412787/bcbba0020478ce87312898de5c93bde3.jpg,https://www.kinoafisha.info/movies/5412787/
Иван Васильевич меняет профессию,1973,8.7,"комедия, фантастика",https://static.kinoafisha.info/k/movie_posters/220/upload/movie_posters/7/8/1/1624187/4c984fe7338f87f45e74784f5314e9b2.jpeg,https://www.kinoafisha.info/movies/1624187/
Лучшие в аду,2022,8.7,военный,https://static.kinoafisha.info/k/movie_posters/220/upload/movie_posters/8/3/9/8367938/117484308249.jpg,https://www.kinoafisha.info/movies/8367938/
Зеленая книга,2018,8.6,драма,https://static.kinoafisha.info/k/movie_posters/220/upload/movie_posters/1/3/1/8355131/1363158f1f506f8bbcc895a671798dea.jpg,https://www.kinoafisha.info/movies/8355131/
Властелин Колец: Братство Кольца,2001,8.6,"приключения, боевик, фэнтези",https://static.kinoafisha.info/k/movie_posters/220/upload/movie_posters/3/2/3/3337323/3e844404e321680f11e51940c1344592.jpg,https://www.kinoafisha.info/movies/3337323/
Шан-Чи и легенда десяти колец,2021,8.6,"фэнтези, боевик, комедия",https://static.kinoafisha.info/k/movie_posters/220/upload/movie_posters/9/6/3/8356369/844b4eb3b5bd965a08464531a34dfcc6.jpg,https://www.kinoafisha.info/movies/8356369/
Душа,2020,8.6,"анимация, семейный, приключения, комедия",https://static.kinoafisha.info/k/movie_posters/220/upload/movie_posters/0/1/3/8356310/6989b3e4070d50c99a2b9d00f984e8de.jpg,https://www.kinoafisha.info/movies/8356310/
Унесенные призраками,2001,8.6,"аниме , семейный, анимация, приключения",https://static.kinoafisha.info/k/movie_posters/220/upload/movie_posters/3/7/3/1250373/b250fe30eef8ef4607e19b2e2279fef7.jpg,https://www.kinoafisha.info/movies/1250373/
Бриллиантовая рука,1968,8.6,"комедия, приключения, криминал",https://static.kinoafisha.info/k/movie_posters/220/upload/movie_posters/5/7/1/5425175/6c7421ec47d02c5cc77edd42a7840c93.jpeg,https://www.kinoafisha.info/movies/5425175/
"Ну, погоди!",1969,8.6,"короткометражный, анимация",https://static.kinoafisha.info/k/movie_posters/220/upload/movie_posters/6/8/0/7943086/598abbc1c936cc802a06fb656f960bae.jpg,https://www.kinoafisha.info/movies/7943086/
Малефисента: Владычица тьмы,2019,8.6,"фэнтези, семейный, приключения",https://static.kinoafisha.info/k/movie_posters/220/upload/movie_posters/0/4/5/8326540/f5ef34a83ca5ab3aa6ca5a25c13c677d.jpeg,https://www.kinoafisha.info/movies/8326540/
Брат 2,2000,8.6,"боевик, криминал",https://static.kinoafisha.info/k/movie_posters/220/upload/movie_posters/5/0/7/8125705/80efe75391c82dcd8a8df6f1e902e677.jpg,https://www.kinoafisha.info/movies/8125705/
Джентльмены удачи,1971,8.6,"криминал, комедия",https://static.kinoafisha.info/k/movie_posters/220/upload/movie_posters/3/5/7/5435753/03b12dcc2e9efc80613a392b45814423.jpg,https://www.kinoafisha.info/movies/5435753/
Законопослушный гражданин,2009,8.6,"триллер, драма",https://static.kinoafisha.info/k/movie_posters/220/upload/movie_posters/7/3/6/5780637/19bb393cc21ceeaeaef000480b505009.jpg,https://www.kinoafisha.info/movies/5780637/
Любовь и голуби,1984,8.6,"комедия, мелодрама",https://static.kinoafisha.info/k/movie_posters/220/upload/movie_posters/3/2/9/5920923/ad3bbed263da24ca207d4d1990cd0637.jpg,https://www.kinoafisha.info/movies/5920923/
Круэлла,2021,8.6,комедия,https://static.kinoafisha.info/k/movie_posters/220/upload/movie_posters/2/4/5/8326542/b32eeb3d1b78ca35001bd57fdf074c5b.jpg,https://www.kinoafisha.info/movies/8326542/
Области тьмы,2011,8.6,триллер,https://static.kinoafisha.info/k/movie_posters/220/upload/movie_posters/9/7/9/8073979/484cfa8a5c944ada775d6ba216fd4739.jpg,https://www.kinoafisha.info/movies/8073979/
Пираты Карибского моря: На странных берегах,2011,8.6,"боевик, комедия, приключения",https://static.kinoafisha.info/k/movie_posters/220/upload/movie_posters/8/6/4/7796468/6fe9118fc3850b18290adee06c2df240.jpg,https://www.kinoafisha.info/movies/7796468/
101 далматинец,1961,8.6,"семейный, приключения, анимация",https://static.kinoafisha.info/k/movie_posters/220/upload/movie_posters/7/4/3/7377347/0eb5ab7b91ff6e778487dce1ff75ca0c.jpeg,https://www.kinoafisha.info/movies/7377347/
Тайна Коко,2017,8.6,"анимация, приключения",https://static.kinoafisha.info/k/movie_posters/220/upload/movie_posters/2/0/3/8329302/c5393f718e29387b59656b9f19a813ac.jpeg,https://www.kinoafisha.info/movies/8329302/
Богемская рапсодия,2018,8.6,"драма, биография, мюзикл",https://static.kinoafisha.info/k/movie_posters/220/upload/movie_posters/0/0/8/8329800/77ffa967529e0dc5d220803498c48a4e.jpeg,https://www.kinoafisha.info/movies/8329800/
Гладиатор,2000,8.6,"приключения, драма, боевик",https://static.kinoafisha.info/k/movie_posters/220/upload/movie_posters/7/8/6/3577687/269f24bc732e228d8b673519ac7d177c.jpeg,https://www.kinoafisha.info/movies/3577687/
Титаник,1997,8.6,"мелодрама, драма, приключения",https://static.kinoafisha.info/k/movie_posters/220/upload/movie_posters/0/6/3/3577360/a00e1d8b08a10044e8b41520d11468b9.jpeg,https://www.kinoafisha.info/movies/3577360/
Холодное сердце 2,2019,8.6,"анимация, семейный, детский",https://static.kinoafisha.info/k/movie_posters/220/upload/movie_posters/9/1/6/8329619/5be90d61429959ea683e46d45cb96b61.jpg,https://www.kinoafisha.info/movies/8329619/
Пираты Карибского моря: На краю света,2007,8.6,"сказка, боевик, комедия, приключения",https://static.kinoafisha.info/k/movie_posters/220/upload/movie_posters/6/7/9/911976/5a4cb258e7074ea7ed4f4a6a3d589613.jpg,https://www.kinoafisha.info/movies/911976/
Титаник 3D,1997,8.6,"приключения, драма, мелодрама",https://static.kinoafisha.info/k/movie_posters/220/upload/movie_posters/6/4/7/8119746/5967498e8951708d7564c60aea1c2488.jpg,https://www.kinoafisha.info/movies/8119746/
Эверест,2019,8.6,анимация,https://static.kinoafisha.info/k/movie_posters/220/upload/movie_posters/5/4/0/8329045/b6293f0174e1fb5648ad42a89843cf7b.jpeg,https://www.kinoafisha.info/movies/8329045/
Мстители: Война бесконечности,2018,8.6,"боевик, фантастика",https://static.kinoafisha.info/k/movie_posters/220/upload/movie_posters/3/0/9/8169903/b9bde867b7ef40dedfdd76005f28dedd.jpeg,https://www.kinoafisha.info/movies/8169903/
Твое имя,2016,8.6,"анимация, фэнтези, мелодрама, аниме ",https://static.kinoafisha.info/k/movie_posters/220/upload/movie_posters/5/7/8/8329875/0b17d1e5cb41fcaf5263745e415e53dd.jpeg,https://www.kinoafisha.info/movies/8329875/
Я - легенда,2007,8.6,"драма, фантастика, ужасы",https://static.kinoafisha.info/k/movie_posters/220/upload/movie_posters/9/6/2/2070269/3fb9d7599444e9c2d091c0a10abcfbce.jpg,https://www.kinoafisha.info/movies/2070269/
Чего хотят женщины,2000,8.5,"мелодрама, комедия",https://static.kinoafisha.info/k/movie_posters/220/upload/movie_posters/3/6/1/7420163/74ee1a39306d980134f7bf73bf3ae424.jpg,https://www.kinoafisha.info/movies/7420163/
ВАЛЛ-И,2008,8.5,"семейный, фэнтези, анимация",https://static.kinoafisha.info/k/movie_posters/220/upload/movie_posters/8/7/9/3338978/51863675c490a4274e6dfdfb71d4b97f.jpg,https://www.kinoafisha.info/movies/3338978/
Лука,2021,8.5,"анимация, приключения, фэнтези",https://static.kinoafisha.info/k/movie_posters/220/upload/movie_posters/1/6/0/8361061/d9eee2b0e80abecde5fb4adc9840c340.jpg,https://www.kinoafisha.info/movies/8361061/
Сумерки,2008,8.5,"фэнтези, мелодрама",https://static.kinoafisha.info/k/movie_posters/220/upload/movie_posters/2/6/2/5165262/a84755d0ef70e30fbd5694189cd5118f.jpg,https://www.kinoafisha.info/movies/5165262/
Топ Ган: Мэверик,2022,8.5,боевик,https://static.kinoafisha.info/k/movie_posters/220/upload/movie_posters/0/3/5/8178530/4eae0a98fe28f574d644aaccb14be1d2.jpeg,https://www.kinoafisha.info/movies/8178530/
Игры разума,2001,8.5,"мистика, драма, биография",https://static.kinoafisha.info/k/movie_posters/220/upload/movie_posters/3/5/1/4108153/4f1e5a2a098a7bdb655155d158665304.jpeg,https://www.kinoafisha.info/movies/4108153/
Храброе сердце,1995,8.5,"военный, биография, боевик, драма",https://static.kinoafisha.info/k/movie_posters/220/upload/movie_posters/3/6/2/5413263/1ddb2b2a8926b11948a668ed057fe32c.jpeg,https://www.kinoafisha.info/movies/5413263/
Главный герой,2021,8.5,"фантастика, боевик, комедия, приключения",https://static.kinoafisha.info/k/movie_posters/220/upload/movie_posters/4/9/2/8356294/1d005924fddff94a8871d2102df5662c.jpg,https://www.kinoafisha.info/movies/8356294/
Достучаться до небес,1997,8.5,"боевик, драма, приключения, комедия",https://static.kinoafisha.info/k/movie_posters/220/upload/movie_posters/9/9/8/7275899/777275687591.jpg,https://www.kinoafisha.info/movies/7275899/
Небо,2020,8.5,"военный, драма",https://static.kinoafisha.info/k/movie_posters/220/upload/movie_posters/1/5/1/8365151/4f76a9d45727c0697bbc26c9e3eeb82a.jpg,https://www.kinoafisha.info/movies/8365151/
Собачья жизнь 2,2019,8.5,семейный,https://static.kinoafisha.info/k/movie_posters/220/upload/movie_posters/6/0/8/8354806/396ca5212b1f7c5ed2747439cdaab7b5.jpeg,https://www.kinoafisha.info/movies/8354806/
Властелин Колец: Две крепости,2002,8.5,"приключения, фэнтези, драма",https://static.kinoafisha.info/k/movie_posters/220/upload/movie_posters/7/2/2/5227/477f2a0667cc958a53446da475a724d2.jpg,https://www.kinoafisha.info/movies/5227/
Пятый элемент,1997,8.5,"приключения, триллер, боевик, фантастика, мелодрама",https://static.kinoafisha.info/k/movie_posters/220/upload/movie_posters/1/6/6/3443661/3e439b0dd1ec70e0397b95becfe42512.jpeg,https://www.kinoafisha.info/movies/3443661/
Офицеры,1971,8.5,"драма, мелодрама",https://static.kinoafisha.info/k/movie_posters/220/upload/movie_posters/9/4/5/7862549/d932a982185952fe96a4fbb8b74e0533.jpg,https://www.kinoafisha.info/movies/7862549/
Джуманджи,1995,8.5,"семейный, триллер, комедия, приключения, фантастика, драма",https://static.kinoafisha.info/k/movie_posters/220/upload/movie_posters/7/7/9/4273977/ef1632cb77baacdf22ac566b33c0b613.jpg,https://www.kinoafisha.info/movies/4273977/
Ледниковый период,2002,8.5,"комедия, приключения, анимация, семейный",https://static.kinoafisha.info/k/movie_posters/220/upload/movie_posters/3/5/9/4621953/35399f6271bf35ca324dc1d3beca10e0.jpeg,https://www.kinoafisha.info/movies/4621953/
Криминальное чтиво,1994,8.5,драма,https://static.kinoafisha.info/k/movie_posters/220/upload/movie_posters/6/7/5/4366576/b76f8b3158a661a90432a60056468b3d.jpg,https://www.kinoafisha.info/movies/4366576/
Холодное сердце,2013,8.5,"приключения, анимация, семейный",https://static.kinoafisha.info/k/movie_posters/220/upload/movie_posters/5/8/1/8141185/35ad561250208a9b1bc84af82af29b76.jpg,https://www.kinoafisha.info/movies/8141185/
Зверополис,2016,8.5,"анимация, боевик, приключения, семейный, комедия",https://static.kinoafisha.info/k/movie_posters/220/upload/movie_posters/6/4/1/8170146/44b6272abe836d9932807f0c753ca771.jpg,https://www.kinoafisha.info/movies/8170146/
В метре друг от друга,2019,8.5,"мелодрама, драма",https://static.kinoafisha.info/k/movie_posters/220/upload/movie_posters/2/7/0/8355072/1e62cfeb3b4db293855aa8c354873a14.jpeg,https://www.kinoafisha.info/movies/8355072/
Рапунцель: Запутанная История,2010,8.5,"семейный, мюзикл, анимация, комедия",https://static.kinoafisha.info/k/movie_posters/220/upload/movie_posters/6/3/3/8106336/45fe1f451cb8e79ac6d784944c137966.jpg,https://www.kinoafisha.info/movies/8106336/
Игра,1997,8.5,"криминал, приключения, триллер",https://static.kinoafisha.info/k/movie_posters/220/upload/movie_posters/8/9/4/8099498/a39e2f22c375721f74d71dd068b9435a.jpg,https://www.kinoafisha.info/movies/8099498/
Пассажиры,2016,8.5,"фантастика, приключения, мелодрама",https://static.kinoafisha.info/k/movie_posters/220/upload/movie_posters/5/7/7/8176775/a7fee3b6508180add97f4207b46c0f96.jpeg,https://www.kinoafisha.info/movies/8176775/
Мстители: Финал,2019,8.5,"боевик, фантастика",https://static.kinoafisha.info/k/movie_posters/220/upload/movie_posters/9/8/6/8319689/82baec3bbdf4c6395750e46d6ca1325c.jpeg,https://www.kinoafisha.info/movies/8319689/
Загадочная история Бенджамина Баттона,2008,8.5,"мелодрама, драма, мистика, фантастика",https://static.kinoafisha.info/k/movie_posters/220/upload/movie_posters/7/4/0/3603047/d97b8269462746f8d849150e5443ec44.jpg,https://www.kinoafisha.info/movies/3603047/
Не время умирать,2021,8.5,"боевик, криминал, триллер, приключения",https://static.kinoafisha.info/k/movie_posters/220/upload/movie_posters/3/0/8/8330803/2232b59f9bafb303d6f3bc2caa221d09.jpg,https://www.kinoafisha.info/movies/8330803/
Шрэк,2001,8.5,"анимация, семейный, комедия",https://static.kinoafisha.info/k/movie_posters/220/upload/movie_posters/5/2/6/5625/8971a949ea7f23e16f77f34c1d9403aa.jpeg,https://www.kinoafisha.info/movies/5625/
Привидение,1990,8.5,"драма, фэнтези, триллер, мистика, комедия",https://static.kinoafisha.info/k/movie_posters/220/upload/movie_posters/2/6/1/3677162/5c4a2adfae1f45cc4ff48ea31772e4f1.jpg,https://www.kinoafisha.info/movies/3677162/
День сурка,1993,8.4,"комедия, мелодрама, фантастика",https://static.kinoafisha.info/k/movie_posters/220/upload/movie_posters/3/7/7/5412773/5039c1b0f38167f42953e933a08e66d5.jpeg,https://www.kinoafisha.info/movies/5412773/
Шерлок Холмс,2009,8.4,"драма, боевик, криминал, приключения, мистика",https://static.kinoafisha.info/k/movie_posters/220/upload/movie_posters/0/0/2/7583200/4f3b7794b0388954af39fb97f6af93b8.jpg,https://www.kinoafisha.info/movies/7583200/
Как приручить дракона,2010,8.4,"анимация, семейный, сказка",https://static.kinoafisha.info/k/movie_posters/220/upload/movie_posters/0/1/9/5636910/9ffa7b6ae0ae0db22e228df85100c90f.jpg,https://www.kinoafisha.info/movies/5636910/
